"cv_fold","observation_id","y_true","y_pred_mean","y_pred_sd","y_pred_median","y_pred_ci_2.5","y_pred_ci_97.5","y_pred_q25","y_pred_q75","residual","in_ci_95","len_ic_95","adm1_code","adm1_name","Datetime"
0,1,0.0863476233454494,0.224522022702748,0.0612238528302155,0.219293194643253,0.124705248317353,0.362978468404281,0.181855564155144,0.261140346543035,0.138174399357299,FALSE,0.238273220086928,2221,"Abuja",2022-10-05
0,2,0.0815624957401514,0.226130908871545,0.0612093279056515,0.219860637276861,0.125157403393766,0.364592414451001,0.182730268610895,0.26226472717232,0.144568413131393,FALSE,0.239435011057235,2221,"Abuja",2022-10-12
0,3,0.0903787991598815,0.23429762956727,0.0622706538908356,0.228238330821012,0.129857125032642,0.3783087725112,0.189793040538875,0.269633686107928,0.143918830407388,FALSE,0.248451647478558,2221,"Abuja",2022-10-19
0,4,0.087016224029164,0.234225115598355,0.0618386138109305,0.228703104952552,0.130681192622382,0.375727465927841,0.190610748493678,0.26999179018169,0.147208891569191,FALSE,0.245046273305459,2221,"Abuja",2022-10-26
0,5,0.0937405247165983,0.234591053744956,0.0612170003292545,0.229072860318992,0.132008069511965,0.373400480757565,0.191043773625333,0.270625233161183,0.140850529028358,FALSE,0.2413924112456,2221,"Abuja",2022-11-02
0,6,0.0937348605679757,0.228614171709219,0.0597927147940488,0.223175023200869,0.129706032028331,0.364972833423694,0.186304387896588,0.264079830850786,0.134879311141243,FALSE,0.235266801395362,2221,"Abuja",2022-11-09
0,7,0.104472333027666,0.229549857754955,0.0598435934720356,0.224361120792275,0.130445976771279,0.363797996459905,0.187121361358133,0.264510089915867,0.125077524727288,FALSE,0.233352019688626,2221,"Abuja",2022-11-16
0,8,0.110958715948653,0.234423099237803,0.0603193236541739,0.228577401658816,0.131512182784618,0.370325751406606,0.191549580030778,0.27045898298755,0.12346438328915,FALSE,0.238813568621988,2221,"Abuja",2022-11-23
0,9,0.125180372823798,0.23730203432106,0.0603897495327186,0.23164993836708,0.134871711481607,0.372479465603887,0.194334976417333,0.273981306890655,0.112121661497262,FALSE,0.23760775412228,2221,"Abuja",2022-11-30
0,10,0.144168782453353,0.255881376541225,0.063113097482342,0.250296938058619,0.147300462573011,0.395043757673654,0.2108992670867,0.294236344419015,0.111712594087873,FALSE,0.247743295100643,2221,"Abuja",2022-12-07
0,11,0.167370401388697,0.280886954320236,0.0664804058578758,0.275675911846297,0.164404455251004,0.424142906933907,0.233474898754403,0.322169709344646,0.113516552931539,TRUE,0.259738451682903,2221,"Abuja",2022-12-14
0,12,0.178176625256229,0.299180263829166,0.0686353106990722,0.294069945683379,0.17814945324924,0.44575316919453,0.250808989240649,0.341240999453909,0.121003638572937,TRUE,0.26760371594529,2221,"Abuja",2022-12-21
0,13,0.186727834645236,0.313094253469107,0.0699521245731375,0.307894129350199,0.188023100203784,0.463939865098818,0.263997234975786,0.356472157971291,0.126366418823871,FALSE,0.275916764895034,2221,"Abuja",2022-12-28
0,14,0.190979445247006,0.316019583293081,0.0697929117333308,0.311340373499118,0.190012397442443,0.466121494124618,0.266887094496113,0.359388771294884,0.125040138046075,TRUE,0.276109096682175,2221,"Abuja",2023-01-04
0,15,0.198002529982424,0.315049167392263,0.0691330887787004,0.31066910606813,0.190337019768391,0.463131245572103,0.26695611302232,0.358188088782411,0.117046637409839,TRUE,0.272794225803712,2221,"Abuja",2023-01-11
0,16,0.202504353424594,0.314646178825003,0.0688599114952417,0.309826816878,0.192551319902614,0.463636218702387,0.267191849113726,0.356862400028003,0.112141825400409,TRUE,0.271084898799773,2221,"Abuja",2023-01-18
0,17,0.209004070084797,0.322737278061823,0.0694134920214309,0.318285265916551,0.197510448803911,0.47335069856184,0.274829687583617,0.366240610342082,0.113733207977026,TRUE,0.275840249757928,2221,"Abuja",2023-01-25
0,18,0.223800812938892,0.339109193573725,0.0706755053795871,0.334985295651125,0.210801125158102,0.49589076871484,0.290543689973859,0.382688458522805,0.115308380634833,TRUE,0.285089643556737,2221,"Abuja",2023-02-01
0,19,0.230900024513174,0.353008443716569,0.0716879258432908,0.348191016983535,0.222224748758409,0.510726347696283,0.303197716584647,0.398461758468802,0.122108419203395,TRUE,0.288501598937874,2221,"Abuja",2023-02-08
0,20,0.225745349174316,0.360785714373123,0.071978664998333,0.356412544750328,0.228025740666074,0.513911201872137,0.310667203360315,0.407135373850449,0.135040365198807,FALSE,0.285885461206063,2221,"Abuja",2023-02-15
0,21,0.229742371679012,0.36241325069119,0.0718376117119459,0.358184599570096,0.229999150409925,0.515740026218788,0.312450372970953,0.408488503386945,0.132670879012178,FALSE,0.285740875808863,2221,"Abuja",2023-02-22
0,22,0.224511259166865,0.358131306265646,0.0715850972502041,0.35438156787405,0.226733558955254,0.511667886210426,0.308780788083089,0.403676810749352,0.133620047098781,FALSE,0.284934327255172,2221,"Abuja",2023-03-01
0,23,0.213008408893655,0.354487308478223,0.0710850049510558,0.350520855328383,0.22451633008471,0.506872139081955,0.305085810861521,0.399632085058954,0.141478899584567,FALSE,0.282355808997244,2221,"Abuja",2023-03-08
0,24,0.205303642460703,0.350033399065796,0.070841430899298,0.345514001520368,0.221168647976446,0.501549352250274,0.301078484595034,0.395276718355459,0.144729756605093,FALSE,0.280380704273828,2221,"Abuja",2023-03-15
0,25,0.207102360995425,0.345005910598028,0.0701660105629519,0.340033264142146,0.217555373604774,0.499067651174898,0.296161272356504,0.38912064543973,0.137903549602603,FALSE,0.281512277570124,2221,"Abuja",2023-03-22
0,26,0.208246225717975,0.334205697373771,0.0693327696896888,0.329878228731659,0.209314208749587,0.483785504194728,0.286221599319315,0.377360553030609,0.125959471655796,FALSE,0.274471295445141,2221,"Abuja",2023-03-29
0,27,0.210735657739571,0.339712378948488,0.069683575340098,0.336307871588869,0.213468966208258,0.489228316067156,0.291057894909372,0.383710477072889,0.128976721208917,FALSE,0.275759349858898,2221,"Abuja",2023-04-05
0,28,0.21011224915517,0.336839109177222,0.0694257491711381,0.332687879862154,0.211904079886387,0.48425818487674,0.288381111365437,0.380577660120458,0.126726860022052,FALSE,0.272354104990353,2221,"Abuja",2023-04-12
0,29,0.214949049980861,0.332300312921581,0.0689150523766036,0.327610592105859,0.207698944956486,0.477693069355055,0.28349610596296,0.376083612921294,0.11735126294072,TRUE,0.269994124398568,2221,"Abuja",2023-04-19
0,30,0.20261997118981,0.327079673102589,0.0682990256193841,0.322229992796604,0.204771262484661,0.470309153963158,0.279051486451893,0.370035713185261,0.124459701912779,FALSE,0.265537891478497,2221,"Abuja",2023-04-26
0,31,0.194849975186535,0.323436095173248,0.067825989677759,0.318102622709657,0.205259388628372,0.469625129325893,0.275878719739714,0.365939461040066,0.128586119986712,FALSE,0.264365740697521,2221,"Abuja",2023-05-03
0,32,0.194054733900717,0.318077354394412,0.0669484679980642,0.312949084356075,0.200727183287961,0.46338570399414,0.271914627745343,0.360550063144334,0.124022620493694,FALSE,0.262658520706179,2221,"Abuja",2023-05-10
0,33,0.201270932638035,0.316190180091519,0.0666054615787808,0.310592828582502,0.199868308635822,0.461311770491342,0.269813340996261,0.35821124639861,0.114919247453484,TRUE,0.26144346185552,2221,"Abuja",2023-05-17
